NEIGHBORHOOD_UP_0,NEIGHBORHOOD_UP_1,NEIGHBORHOOD_UP_2,NEIGHBORHOOD_UP_3,NEIGHBORHOOD_UP_4,NEIGHBORHOOD_UP_5,NEIGHBORHOOD_UP_6,NEIGHBORHOOD_UP_7,NEIGHBORHOOD_UP_8,NEIGHBORHOOD_UP_9,NEIGHBORHOOD_UP_10,NEIGHBORHOOD_DOWN_0,NEIGHBORHOOD_DOWN_1,NEIGHBORHOOD_DOWN_2,NEIGHBORHOOD_DOWN_3,NEIGHBORHOOD_DOWN_4,NEIGHBORHOOD_DOWN_5,NEIGHBORHOOD_DOWN_6,NEIGHBORHOOD_DOWN_7,NEIGHBORHOOD_DOWN_8,NEIGHBORHOOD_DOWN_9,NEIGHBORHOOD_DOWN_10,NEIGHBORHOOD_RIGHT_0,NEIGHBORHOOD_RIGHT_1,NEIGHBORHOOD_RIGHT_2,NEIGHBORHOOD_RIGHT_3,NEIGHBORHOOD_RIGHT_4,NEIGHBORHOOD_RIGHT_5,NEIGHBORHOOD_RIGHT_6,NEIGHBORHOOD_RIGHT_7,NEIGHBORHOOD_RIGHT_8,NEIGHBORHOOD_RIGHT_9,NEIGHBORHOOD_RIGHT_10,NEIGHBORHOOD_LEFT_0,NEIGHBORHOOD_LEFT_1,NEIGHBORHOOD_LEFT_2,NEIGHBORHOOD_LEFT_3,NEIGHBORHOOD_LEFT_4,NEIGHBORHOOD_LEFT_5,NEIGHBORHOOD_LEFT_6,NEIGHBORHOOD_LEFT_7,NEIGHBORHOOD_LEFT_8,NEIGHBORHOOD_LEFT_9,NEIGHBORHOOD_LEFT_10,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action_int
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.407553,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.103451,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.907553,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.20459,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407552,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.303517,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.907552,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.401373,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.407551,8.3085,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.501754,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.70756,4.90755,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.601893,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.20756,5.40755,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.700586,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.70756,5.907552,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.800367,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.20756,6.407555,0.3085001,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.902155,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.70755,6.907556,0.3085,0.3075551,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,2.001332,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.20755,7.407558,0.3085001,0.3075551,15.0,3.0,27.0,27.3,3.0,27.3,1.0,2.0,19.0,9.0,23.0,27.0,2.101016,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.70755,7.907561,0.3085001,0.3075551,15.0,3.0,27.0,27.3,3.0,27.3,1.0,2.0,19.0,9.0,23.0,27.0,2.202914,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.20755,8.407562,0.3085001,0.3085001,15.0,3.0,27.0,27.3,3.0,27.3,1.0,2.0,19.0,9.0,23.0,27.0,2.301433,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.70755,8.907564,0.3085001,0.3085001,15.0,3.0,27.0,27.3,3.0,27.3,1.0,2.0,19.0,9.0,23.0,27.0,2.405005,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.20754,9.407566,0.3085001,0.3085001,15.0,3.0,27.0,27.3,3.0,27.3,1.0,2.0,19.0,9.0,23.0,27.0,2.500317,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.70754,9.907568,0.3085001,0.3085001,15.0,3.0,27.0,27.3,3.0,27.3,1.0,2.0,19.0,9.0,23.0,27.0,2.600676,1
